iter	Passed	Remaining
0	3	1211
1	6	1177
2	8	1125
3	11	1126
4	14	1108
5	15	958
6	15	842
7	18	850
8	20	862
9	21	799
10	23	809
11	26	818
12	29	827
13	31	833
14	33	814
15	35	820
16	38	825
17	40	829
18	43	835
19	46	839
20	48	841
21	51	843
22	51	809
23	54	811
24	56	814
25	59	816
26	61	817
27	64	822
28	67	827
29	70	827
30	72	827
31	75	828
32	78	829
33	80	828
34	83	828
35	85	828
36	88	827
37	91	826
38	93	825
39	96	824
40	98	824
41	99	809
42	100	791
43	102	791
44	105	789
45	106	781
46	109	781
47	111	781
48	114	781
49	115	765
50	117	765
51	117	750
52	120	750
53	123	750
54	125	750
55	128	750
56	131	749
57	133	749
58	136	749
59	139	749
60	141	748
61	144	747
62	147	747
63	149	746
64	152	745
65	153	735
66	155	733
67	158	732
68	160	731
69	163	729
70	165	728
71	167	722
72	169	721
73	172	720
74	175	718
75	177	717
76	180	715
77	182	713
78	185	712
79	187	710
80	187	700
81	190	698
82	192	697
83	195	695
84	197	693
85	200	692
86	202	690
87	205	689
88	208	687
89	208	679
90	210	674
91	212	672
92	214	670
93	217	668
94	219	666
95	220	659
96	223	657
97	225	655
98	228	654
99	230	652
100	233	650
101	235	649
102	238	648
103	241	646
104	243	645
105	244	637
106	246	636
107	248	634
108	249	627
109	252	625
110	254	624
111	257	622
112	259	620
113	262	618
114	264	616
115	267	614
116	269	613
117	270	607
118	273	606
119	275	604
120	276	599
121	279	597
122	281	595
123	284	593
124	286	592
125	289	590
126	291	588
127	293	584
128	295	582
129	298	580
130	299	575
131	301	573
132	304	571
133	306	570
134	309	568
135	312	566
136	314	565
137	318	565
138	320	563
139	323	561
140	326	559
141	327	556
142	329	552
143	332	551
144	334	549
145	337	547
146	339	545
147	342	543
148	344	541
149	347	539
150	347	534
151	350	532
152	353	530
153	355	529
154	358	527
155	360	525
156	363	523
157	366	521
158	368	519
159	371	517
160	373	515
161	376	513
162	379	511
163	381	509
164	384	507
165	386	505
166	389	503
167	392	501
168	394	499
169	397	497
170	403	499
171	405	498
172	406	493
173	409	491
174	409	487
175	410	482
176	412	480
177	415	478
178	417	476
179	420	474
180	422	472
181	424	468
182	425	464
183	427	462
184	430	460
185	432	458
186	435	456
187	437	454
188	440	452
189	443	450
190	445	447
191	448	445
192	450	443
193	451	439
194	453	437
195	456	435
196	458	433
197	459	429
198	460	425
199	463	423
200	465	421
201	468	419
202	470	417
203	473	415
204	475	413
205	478	411
206	481	408
207	483	406
208	486	404
209	487	401
210	490	399
211	492	397
212	495	395
213	497	393
214	500	391
215	503	389
216	505	386
217	508	384
218	510	382
219	513	380
220	516	378
221	518	376
222	520	373
223	523	371
224	525	369
225	528	367
226	531	365
227	534	363
228	536	360
229	539	358
230	541	356
231	544	354
232	545	351
233	546	348
234	549	345
235	551	343
236	554	341
237	556	339
238	559	336
239	561	334
240	564	332
241	566	330
242	569	328
243	572	325
244	574	323
245	577	321
246	579	319
247	582	317
248	585	314
249	587	312
250	590	310
251	592	308
252	595	305
253	597	303
254	600	301
255	602	299
256	605	296
257	607	294
258	610	292
259	612	289
260	615	287
261	617	285
262	619	282
263	621	280
264	624	278
265	627	275
266	629	273
267	632	271
268	634	269
269	637	266
270	640	264
271	642	262
272	645	260
273	648	257
274	650	255
275	653	253
276	655	250
277	658	248
278	660	246
279	663	243
280	665	241
281	668	239
282	670	237
283	673	234
284	675	232
285	678	230
286	681	227
287	683	225
288	686	223
289	688	220
290	691	218
291	694	216
292	696	214
293	699	211
294	701	209
295	704	207
296	707	204
297	710	202
298	712	200
299	715	197
300	718	195
301	720	193
302	723	190
303	725	188
304	728	186
305	730	183
306	733	181
307	736	179
308	739	177
309	742	174
310	744	172
311	747	170
312	750	167
313	752	165
314	755	163
315	757	160
316	760	158
317	762	155
318	765	153
319	768	151
320	771	149
321	774	146
322	777	144
323	780	142
324	782	139
325	785	137
326	788	134
327	790	132
328	792	130
329	795	127
330	798	125
331	800	123
332	803	120
333	806	118
334	808	115
335	811	113
336	813	111
337	816	108
338	818	106
339	821	103
340	823	101
341	826	99
342	829	96
343	829	94
344	832	91
345	835	89
346	837	86
347	840	84
348	842	82
349	845	79
350	847	77
351	850	74
352	853	72
353	855	70
354	858	67
355	860	65
356	863	62
357	866	60
358	868	58
359	871	55
360	874	53
361	876	50
362	879	48
363	881	46
364	884	43
365	887	41
366	889	38
367	892	36
368	895	33
369	897	31
370	900	29
371	902	26
372	905	24
373	907	21
374	910	19
375	913	17
376	915	14
377	918	12
378	921	9
379	924	7
380	926	4
381	929	2
382	931	0
