deck,age_pclass,family_size_pclass,woman_or_child,sex,rich_woman,is_shared_ticket,sex_pclass,fare,title,is_alone_sex,age,has_cabin,fare_per_person,fare_group,age_sex,pclass,fare_pclass,family_category_small_family,fare_per_person_group,survived
0,66.0,6,0,0,0,0,0,7.25,1,0,22.0,0,7.25,1,0.0,3,21.75,True,0,0
3,38.0,2,1,1,1,0,1,71.2833,3,0,38.0,1,71.2833,5,38.0,1,71.2833,True,4,1
0,78.0,3,1,1,0,0,3,7.925,2,1,26.0,0,7.925,2,26.0,3,23.775,False,1,1
3,35.0,2,1,1,1,1,1,53.1,3,0,35.0,1,26.55,5,35.0,1,53.1,True,3,1
0,105.0,3,0,0,0,0,0,8.05,1,0,35.0,0,8.05,2,0.0,3,24.150000000000002,False,1,0
0,75.0,3,0,0,0,0,0,8.4583,1,0,25.0,0,8.4583,2,0.0,3,25.374899999999997,False,2,0
5,54.0,1,0,0,0,0,0,51.8625,1,0,54.0,1,51.8625,5,0.0,1,51.8625,False,4,0
0,6.0,15,1,0,0,1,0,21.075,4,0,2.0,0,5.26875,3,0.0,3,63.224999999999994,False,0,0
0,81.0,9,1,1,0,1,3,11.1333,3,0,27.0,0,3.7111,3,27.0,3,33.3999,True,0,1
0,28.0,4,1,1,1,1,2,30.0708,3,0,14.0,0,15.0354,4,14.0,2,60.1416,True,3,1
7,12.0,9,1,1,0,1,3,16.7,2,0,4.0,1,8.35,3,4.0,3,50.099999999999994,True,2,1
3,58.0,1,1,1,1,0,1,26.55,2,1,58.0,1,26.55,4,58.0,1,26.55,False,3,1
0,60.0,3,0,0,0,0,0,8.05,1,0,20.0,0,8.05,2,0.0,3,24.150000000000002,False,1,0
0,117.0,21,0,0,0,1,0,31.275,1,0,39.0,0,4.4678571428571425,4,0.0,3,93.82499999999999,False,0,0
0,42.0,3,1,1,0,0,3,7.8542,2,1,14.0,0,7.8542,1,14.0,3,23.5626,False,1,0
0,110.0,2,1,1,1,0,2,16.0,3,1,55.0,0,16.0,3,55.0,2,32.0,False,3,1
0,6.0,18,1,0,0,1,0,29.125,4,0,2.0,0,5.825,4,0.0,3,87.375,False,0,0
0,60.0,2,0,0,0,0,0,13.0,1,0,30.0,0,13.0,3,0.0,2,26.0,False,3,1
0,93.0,6,1,1,0,0,3,18.0,3,0,31.0,0,18.0,3,31.0,3,54.0,True,3,0
0,64.5,3,1,1,0,0,3,7.225,3,1,21.5,0,7.225,1,21.5,3,21.674999999999997,False,0,1
0,70.0,2,0,0,0,1,0,26.0,1,0,35.0,0,13.0,4,0.0,2,52.0,False,3,0
4,68.0,2,0,0,0,0,0,13.0,1,0,34.0,1,13.0,3,0.0,2,26.0,False,3,1
0,45.0,3,1,1,0,0,3,8.0292,2,1,15.0,0,8.0292,2,15.0,3,24.0876,False,1,1
1,28.0,1,0,0,0,0,0,35.5,1,0,28.0,1,35.5,4,0.0,1,35.5,False,4,1
0,24.0,15,1,1,0,1,3,21.075,2,0,8.0,0,5.26875,3,8.0,3,63.224999999999994,False,0,0
0,114.0,21,1,1,0,1,3,31.3875,3,0,38.0,0,7.846875,4,38.0,3,94.1625,False,1,1
0,75.0,3,0,0,0,0,0,7.225,1,0,25.0,0,7.225,1,0.0,3,21.674999999999997,False,0,0
3,19.0,6,0,0,0,1,0,263.0,1,0,19.0,1,65.75,5,0.0,1,263.0,False,4,0
0,64.5,3,1,1,0,0,3,7.8792,2,1,21.5,0,7.8792,2,21.5,3,23.6376,False,1,1
0,75.0,3,0,0,0,0,0,7.8958,1,0,25.0,0,7.8958,2,0.0,3,23.6874,False,1,0
0,40.0,1,0,0,0,0,0,27.7208,5,0,40.0,0,27.7208,4,0.0,1,27.7208,False,4,0
2,35.0,2,1,1,1,1,1,146.5208,3,0,35.0,1,73.2604,5,35.0,1,146.5208,True,4,1
0,64.5,3,1,1,0,0,3,7.75,2,1,21.5,0,7.75,1,21.5,3,23.25,False,1,1
0,132.0,2,0,0,0,0,0,10.5,1,0,66.0,0,10.5,2,0.0,2,21.0,False,2,0
0,28.0,2,0,0,0,1,0,82.1708,1,0,28.0,0,41.0854,5,0.0,1,82.1708,True,4,0
0,42.0,2,0,0,0,1,0,52.0,1,0,42.0,0,26.0,5,0.0,1,52.0,True,3,0
0,75.0,3,0,0,0,0,0,7.2292,1,0,25.0,0,7.2292,1,0.0,3,21.6876,False,0,1
0,63.0,3,0,0,0,0,0,8.05,1,0,21.0,0,8.05,2,0.0,3,24.150000000000002,False,1,0
0,54.0,9,1,1,0,1,3,18.0,2,0,18.0,0,9.0,3,18.0,3,54.0,True,2,0
0,42.0,6,1,1,0,1,3,11.2417,2,0,14.0,0,5.62085,3,14.0,3,33.7251,True,0,1
0,120.0,6,1,1,0,0,3,9.475,3,0,40.0,0,9.475,2,40.0,3,28.424999999999997,True,2,0
0,54.0,4,1,1,1,1,2,21.0,3,0,27.0,0,10.5,3,27.0,2,42.0,True,2,0
0,75.0,3,0,0,0,0,0,7.8958,1,0,25.0,0,7.8958,2,0.0,3,23.6874,False,1,0
0,6.0,8,1,1,1,1,2,41.5792,2,0,3.0,0,13.859733333333333,5,3.0,2,83.1584,False,3,1
0,57.0,3,1,1,0,0,3,7.8792,2,1,19.0,0,7.8792,2,19.0,3,23.6376,False,1,1
0,75.0,3,0,0,0,0,0,8.05,1,0,25.0,0,8.05,2,0.0,3,24.150000000000002,False,1,0
0,75.0,6,0,0,0,0,0,15.5,1,0,25.0,0,15.5,3,0.0,3,46.5,True,3,0
0,64.5,3,1,1,0,0,3,7.75,2,1,21.5,0,7.75,1,21.5,3,23.25,False,1,1
0,75.0,9,0,0,0,0,0,21.6792,1,0,25.0,0,21.6792,3,0.0,3,65.0376,True,3,0
0,54.0,6,1,1,0,1,3,17.8,3,0,18.0,0,8.9,3,18.0,3,53.400000000000006,True,2,0
0,21.0,18,1,0,0,1,0,39.6875,4,0,7.0,0,6.614583333333333,4,0.0,3,119.0625,False,0,0
0,63.0,3,0,0,0,0,0,7.8,1,0,21.0,0,7.8,1,0.0,3,23.4,False,1,0
4,49.0,2,1,1,1,1,1,76.7292,3,0,49.0,1,25.576400000000003,5,49.0,1,76.7292,True,3,1
0,58.0,4,1,1,1,0,2,26.0,3,0,29.0,0,26.0,4,29.0,2,52.0,True,3,1
2,65.0,2,0,0,0,0,0,61.9792,1,0,65.0,1,61.9792,5,0.0,1,61.9792,True,4,0
3,40.0,1,0,0,0,0,0,35.5,1,0,40.0,1,35.5,4,0.0,1,35.5,False,4,1
0,42.0,2,1,1,1,0,2,10.5,2,1,21.0,0,10.5,2,21.0,2,21.0,False,2,1
0,85.5,3,0,0,0,0,0,7.2292,1,0,28.5,0,7.2292,1,0.0,3,21.6876,False,0,0
0,10.0,8,1,1,1,1,2,27.75,2,0,5.0,0,9.25,4,5.0,2,55.5,False,2,1
0,33.0,24,1,0,0,1,0,46.9,4,0,11.0,0,7.816666666666666,5,0.0,3,140.7,False,1,0
0,66.0,3,0,0,0,0,0,7.2292,1,0,22.0,0,7.2292,1,0.0,3,21.6876,False,0,0
